Altium Designer Pick and Place Locations
C:\Users\alfredo\AppData\Local\TempReleases\Snapshot\1\Assembly\USB-SW-A\Pick and Place.csv

========================================================================================================================
File Design Information:

Date:       13/03/25
Time:       17:19
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"C1","20.0000","9.4000","TopLayer","0"
"C2","20.0000","11.1000","TopLayer","0"
"C3","29.3000","5.4000","TopLayer","180"
"C4","29.3000","7.0000","TopLayer","180"
"C5","20.0000","7.2000","TopLayer","0"
"C6","28.9000","13.2000","TopLayer","0"
"C7","31.9000","13.2000","TopLayer","180"
"D1","16.3000","12.7000","TopLayer","0"
"D2","16.3000","2.4000","TopLayer","180"
"D3","29.9000","10.0000","TopLayer","180"
"LD1","27.4000","1.7000","TopLayer","0"
"LD2","30.5000","1.7000","TopLayer","0"
"PB1","16.3000","7.5000","TopLayer","270"
"Q1","20.1000","2.4000","TopLayer","90"
"R1","20.0000","12.7000","TopLayer","0"
"R2","24.3000","1.7000","TopLayer","0"
"R4","24.3000","3.1000","TopLayer","0"
"R5","27.4000","3.1000","TopLayer","0"
"R6","30.5000","3.1000","TopLayer","0"
"R7","20.0000","5.1000","TopLayer","180"
"U1","24.5000","7.6000","TopLayer","0"
"U2","24.8000","12.4000","TopLayer","180"
