"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"C1","22.1000","12.9000","TopLayer","180"
"C2","19.1000","12.9000","TopLayer","0"
"C3","29.0000","12.9000","TopLayer","0"
"C4","26.5000","10.4000","TopLayer","270"
"D1","15.8000","12.4000","TopLayer","180"
"D2","15.8000","2.6000","TopLayer","180"
"D3","29.0000","6.8000","TopLayer","270"
"LD1","27.5000","2.6000","TopLayer","270"
"LD2","28.9000","2.6000","TopLayer","270"
"PB1","16.3000","7.5000","TopLayer","270"
"Q1","20.8000","2.6000","TopLayer","90"
"R1","18.3000","2.6000","TopLayer","270"
"R2","23.3000","2.6000","TopLayer","90"
"R4","24.7000","2.6000","TopLayer","90"
"R5","26.1000","2.6000","TopLayer","270"
"R6","30.3000","2.6000","TopLayer","270"
"R7","25.5000","12.9000","TopLayer","180"
"U1","22.1000","8.3000","TopLayer","0"
"U2","29.1000","10.4000","TopLayer","180"
